ime,category
"myotactic reflex","stretch reflex"
"thunder mug",chamberpot
"personal credit line","credit line"
backspacer,"backspace key"
"Arnica cordifolia","heartleaf arnica"
febrifuge,antipyretic
dimout,blackout
kerfuffle,disturbance
undercut,tenderloin
"Thevetia peruviana","yellow oleander"
"Pyrola uniflora","one-flowered wintergreen"
"transitive verb form","transitive verb"
"Annona squamosa",sweetsop
restorer,refinisher
calabazilla,"prairie gourd"
"plaster cast",cast
"Convolvulus arvensis","field bindweed"
guerilla,guerrilla
"coup d'oeil",glance
"big league","major league"
"Buckleya distichophylla",buckleya
"state of war",war
palaeoclimatology,paleoclimatology
"Cycas revoluta","sago palm"
whirligig,top
whirligig,carousel
"Alnus rubra","red alder"
"exhaust hood",hood
jaybird,"blue jay"
spitter,spitball
"Bronx cheer",boo
fiddler,violinist
fiddler,twiddler
fiddler,tinkerer
"Parophrys vitulus","English sole"
"baud rate",baud
determinative,determiner
determinative,determinant
"Tragelaphus scriptus",bushbuck
accruement,accumulation
millimetre,millimeter
"recessional march","processional march"
doldrums,stagnation
"moving stairway",escalator
"livingroom set","livingroom suite"
"court of justice",court
"Curie point","Curie temperature"
"auto loan","automobile loan"
thawing,thaw
"Quercus wislizenii","interior live oak"
shad-flower,"whitlow grass"
"skating rink",rink
spittle,saliva
aerofoil,airfoil
recusal,recusation
"Arctostaphylos manzanita","Parry manzanita"
"Bessera elegans","coral drops"
"acellular slime mold","true slime mold"
gegenschein,counterglow
send-off,"bon voyage"
send-off,kickoff
"Litchi chinensis",litchi
muller,muser
muller,pestle
"Pinus cembroides","pinon pine"
"bombycid moth",bombycid
"police blotter",blotter
"social organisation","social organization"
"animal scientist",zoologist
cereal,grain
nutritionist,dietician
phratry,family
"phonograph recording disk","acetate disk"
"coral honeysuckle","trumpet honeysuckle"
nattiness,jauntiness
"box number","post-office box number"
framing,frame
"Gymnorhina tibicen","piping crow"
supplementation,supplement
"quitclaim deed",quitclaim
univalve,gastropod
"enlisted officer","noncommissioned officer"
noesis,cognition
"Cacalia lutea","tassel flower"
"ripe olive","black olive"
"soft soap",blarney
"disseminated lupus erythematosus","systemic lupus erythematosus"
"Archidiskidon imperator","imperial mammoth"
cosmopolite,cosmopolitan
linesman,electrician
"stomach ache",stomachache
"tree clubmoss","ground fir"
"security measures",security
slowness,awkwardness
slowness,retardation
"acoustic projection",projection
extraction,origin
"zygomatic arch",zygoma
hammerhead,dunce
ampule,phial
systemizer,orderer
"white bedstraw","wild madder"
shrinkage,shrinking
shrinkage,shoplifting
question,doubt
question,motion
schizanthus,"butterfly flower"
"down town","civic center"
anhinga,snakebird
"gum plant",gumweed
"luncheon voucher","meal ticket"
"illegitimate enterprise",racket
"photographic density","optical density"
"record cover","record sleeve"
"bar billiards",bagatelle
saving,economy
saving,rescue
saving,preservation
"Salix fragilis","crack willow"
geniality,affability
attractiveness,attraction
gracelessness,awkwardness
"bobbin lace","pillow lace"
minelaying,mining
indigestibleness,indigestibility
"work load",workload
jellyleaf,"Queensland hemp"
"bottom of the inning",bottom
"emerald creeper","jade vine"
solidification,hardening
"Peruvian bark",cinchona
weed-whacker,weeder
"absolute frequency",frequency
utilisation,use
"knee joint",knee
roadside,wayside
"Geiger-Muller counter","Geiger counter"
"French pancake",crape
"Dipogon lignosus","Australian pea"
"Rumohra adiantiformis","leather fern"
breadbox,bread-bin
carnality,prurience
"September 17","Citizenship Day"
haemoglobinemia,hemoglobinemia
"seventh heaven",bliss
"Isle of Man",Man
unacceptableness,unacceptability
"anticholinergic drug",anticholinergic
"actus reus",wrongdoing
workforce,"work force"
"Mucuna aterrima",cowage
celandine,jewelweed
tailflower,anthurium
drabness,dowdiness
"area 17 of Brodmann","striate cortex"
"Jewish rye","Jewish rye bread"
"Amianthum muscaetoxicum","fly poison"
"Italian rye","Italian ryegrass"
campion,silene
"Scotch pancake","drop scone"
"local anaesthetic","local anesthetic"
novella,novelette
"angel dust",phencyclidine
"cancer drug",antineoplastic
"strong force","strong interaction"
"warning light","red light"
sensualness,sensuality
"blue story","dirty joke"
"disc brake","disk brake"
"Kon Tiki","balsa raft"
misbehaviour,misbehavior
"prickly custard apple",soursop
tintometer,colorimeter
invariable,constant
imprint,depression
leishmaniosis,leishmaniasis
"histiocytic leukaemia","monocytic leukemia"
bobber,bob
"conic waxycap","Hygrocybe acutoconica"
"word sense","word meaning"
steelman,steelmaker
demagogy,demagoguery
"riparian right","water right"
algology,phycology
"Galtonia candicans","summer hyacinth"
byword,proverb
"transcendental philosophy",transcendentalism
"Toxotes jaculatrix",archerfish
"blue stone","blue vitriol"
"siderochrestic anaemia","sideroblastic anemia"
variate,"random variable"
"brush-footed butterfly",nymphalid
ceremonial,ceremony
"soft spot","weak part"
"soft spot",fontanelle
stomach,abdomen
miniaturisation,miniaturization
"flaming poppy","wind poppy"
consuetudinal,consuetudinary
screen,blind
screen,filmdom
screen,sieve
screen,"screen door"
"Phoradendron serotinum","American mistletoe"
"spruce pine","eastern hemlock"
"spruce pine","black spruce"
"spruce pine","shore pine"
novelty,freshness
novelty,knickknack
novelty,bangle
traffic,dealings
weirdy,creep
"Chelonia mydas","green turtle"
"full radiator","black body"
weirdo,creep
weirdo,crazy
"viper's grass","black salsify"
"rainbow pink","china pink"
gravidation,gravidity
"Strizostedion vitreum glaucum","blue pike"
"electronic simulative deception","simulative electronic deception"
variant,discrepancy
variant,form
variant,"random variable"
variant,version
"figured-fabric loom","figure loom"
vitrine,"display case"
acephalism,acephalia
vitriol,vituperation
"arsenous oxide",arsenic
cataphract,"body armor"
"lower rank",inferiority
"Rhea americana",rhea
bandelet,annulet
"implements of war",weaponry
"dative bond","coordinate bond"
voucher,coupon
"hypothalamic releasing hormone","releasing hormone"
"spun sugar","cotton candy"
"golden-eyed fly",goldeneye
"truck garden","truck farm"
"classical haemophilia","hemophilia A"
"goosefoot maple",moosewood
"train depot","railway station"
"Galictis vittatus",grison
"wild oats",bellwort
"Alnus serrulata","smooth alder"
"citrus tree",citrus
fiasco,debacle
sawmill,lumbermill
jack-in-the-pulpit,cuckoopint
canvasser,solicitor
canvasser,scrutineer
canvasser,pollster
"Battle of El Alamein","El Alamein"
"Himalayan cedar",deodar
"water project","water development"
"meadow lily","Canada lily"
boys-and-girls,"herb mercury"
"white dwarf star","white dwarf"
renting,rental
garland,florilegium
garland,wreath
"Hypericum virginianum","marsh St-John's wort"
"mad-dog weed","blue pimpernel"
"Thunnus alalunga",albacore
"Polyborus cheriway audubonii","Audubon's caracara"
orangutang,orangutan
fittingness,fitness
"verruca acuminata","genital wart"
"brown bread","dark bread"
neighborhood,vicinity
neighborhood,region
"alimentary paste",pasta
"sphenoidal fontanel","sphenoid fontanelle"
"fish hawk",osprey
"generalized epilepsy","grand mal epilepsy"
"air conditioning","air conditioner"
"winter flowering cherry","rosebud cherry"
"ethanoyl radical",acetyl
buckyball,buckminsterfullerene
"beefsteak morel","Gyromitra esculenta"
"milk pox",alastrim
"Pelargonium odoratissimum","apple geranium"
"Asparagus asparagoides",smilax
cembalo,harpsichord
"streptococcus tonsilitis","streptococcal sore throat"
saddlecloth,"saddle blanket"
frill,folderal
cocoswood,cocuswood
stomate,stoma
"Ursus thibetanus","Asiatic black bear"
"Salix candida","hoary willow"
beguiler,deceiver
beguiler,charmer
cockscomb,coxcomb
cockscomb,comb
emporium,"department store"
"air well","air shaft"
underestimation,underestimate
"wood block",woodcut
"short-leaf pine","shortleaf pine"
"strawberry bush","Carolina allspice"
heist,"armed robbery"
"fanjet engine",fanjet
"palm civet","palm cat"
fellation,fellatio
"treble recorder",flageolet
layover,stop
"electronic musical instrument","electronic instrument"
"Pelecanus erythrorhynchos","white pelican"
"printing company","printing concern"
rocambole,"sand leek"
impasse,deadlock
impasse,"blind alley"
"stereoscopic picture",stereo
"stapling machine",stapler
crap-shooter,shooter
crazyweed,locoweed
"top executive",baron
fries,"french fries"
frier,fryer
"swamp laurel","sweet bay"
"Anoa mindorensis",tamarau
"Down syndrome",mongolism
stockinette,stockinet
kibit,kibibit
firing,fire
firing,discharge
firing,ignition
firing,dismissal
"piked whale","lesser rorqual"
"slender spike rush","needle spike rush"
"sponge gourd",luffa
pasang,oryx
pasang,"bezoar goat"
"atomistic theory",atomism
lechatelierite,"quartz glass"
demoiselle,damsel
demoiselle,damselfish
"slave trader",slaver
"billiard saloon","billiard room"
adequacy,sufficiency
"t'ai chi chuan","t'ai chi"
"government note",bill
"arnica bud","fall dandelion"
powerfulness,power
odontology,dentistry
plagiarisation,plagiarism
lady's-eardrops,lady's-eardrop
zooerasty,bestiality
dependent,dependant
"pound sign",pound
"practice teacher","student teacher"
"Sorghum bicolor","great millet"
jejuneness,callowness
jejuneness,jejunity
"local anaesthesia","local anesthesia"
tuckahoe,"green arrow arum"
appendicectomy,appendectomy
"mosquito craft","PT boat"
transplantation,transplant
"least common multiple","lowest common multiple"
totality,entirety
totality,sum
pinkeye,conjunctivitis
"resurrection plant","rose of Jericho"
self-realisation,self-fulfillment
